type,stac_version,id,title,description,links,keywords,license,providers,extent,summaries,assets
Collection,1.1.0,cams-global-greenhouse-gas-forecasts,CAMS global greenhouse gas forecasts,"CAMS produces global forecasts for the two main long-lived greenhouse gases once a day. This dataset consists of 5-day high-resolution forecasts of carbon dioxide (CO2) and methane (CH4). Additionally, carbon monoxide (CO) and meteorological parameters relevant to the CAMS greenhouse gas forecast are included.
The initial conditions of each forecast are obtained by combining a previous forecast with current satellite observations through a process called data assimilation. This best estimate of the state of the atmosphere at the initial forecast time step, called the analysis, provides a globally complete and consistent dataset allowing for estimates at locations where observation data coverage is low.
The analysis has a resolution of approximately 25km and it is produced 4 days behind real-time due to the current latency of satellite retrievals of CO2 and CH4. As this analysis of greenhouse gases is not available close to real time, it is not provided. Instead, the high-resolution forecast with a resolution of approximately 9km is run a few hours behind real time, with initial conditions based on a 4-day forecast of the analysis experiment. Additionally, because some meteorological fields in the forecast do not fall within the general CAMS data licence, they are only available with a delay of 5 days.
The forecast itself uses a model of the atmosphere based on the laws of physics and prescribed chemical loss rates or simplified chemistry to determine the evolution of the concentrations of all species over time for the next five days. Apart from the required initial state, it also uses inventory-based, observation-based and modelled emission estimates as a boundary condition at the surface.
The CAMS global forecasting system is upgraded about once a year resulting in technical and scientific changes. The horizontal or vertical resolution can change, new species can be added, and more generally the accuracy of the forecasts can be improved. Details of these system changes can be found in the documentation.
Users looking for a more consistent long term data set should consider using the CAMS greenhouse gas reanalysis instead, which is available through the Atmosphere Data Store (ADS) and spans the period from 2003 onwards, or the CAMS global inversion-optimised greenhouse gas fluxes and concentrations which provides a longer dataset that is suitable for trend analysis and also available through the ADS.","[{'rel': 'self', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/collections/cams-global-greenhouse-gas-forecasts'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}]","['Variable domain: Atmosphere (composition)', 'Spatial coverage: Global', 'Parameter family: Greenhouse gas', 'Temporal coverage: Present', 'Temporal coverage: Future', 'Product type: Forecast']",CC-BY-4.0,[{'name': 'ECMWF'}],"{'spatial': {'bbox': [[0, -89, 360, 89]]}, 'temporal': {'interval': [['2024-03-01T00:00:00Z', '2025-12-04T00:00:00Z']]}}",{},"{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/cams-global-greenhouse-gas-forecasts/overview_0529b16a644b49da937a6fb6b25e3f2467e9fb8273fcb6ea7ff03c0d6423a91d.png', 'type': 'image/jpg', 'roles': ['thumbnail'], 'thumborHref': 'https://ads.atmosphere.copernicus.eu/thumbnails/WWLZVcZLV2sjSx99HjLC4b0DxJw=/150x0/filters:format(webp)/object-store.os-api.cci2.ecmwf.int/cci2-prod-catalogue/resources/cams-global-greenhouse-gas-forecasts/overview_0529b16a644b49da937a6fb6b25e3f2467e9fb8273fcb6ea7ff03c0d6423a91d.png'}}"
Collection,1.1.0,cams-global-greenhouse-gas-inversion,CAMS global inversion-optimised greenhouse gas fluxes and concentrations,"This data set contains net fluxes at the surface, atmospheric mixing ratios at model levels, and column-mean atmospheric mixing ratios  for carbon dioxide (CO2), methane (CH4) and nitrous oxide (N20).
Natural and anthropogenic surface fluxes of greenhouse gases are key drivers of the evolution of Earth’s climate, so their monitoring is essential. Such information has been used in particular as part of the Assessment Reports of the Intergovernmental Panel on Climate Change (IPCC). Ground-based and satellite remote-sensing observations provide a means to quantifying the net fluxes between the land and ocean on the one hand and the atmosphere on the other hand. This is done through a process called atmospheric inversion, which uses transport models of the atmosphere to link the observed concentrations of CO2, CH4 and N2O to the net fluxes at the Earth's surface. By correctly modelling the winds, vertical diffusion, and convection in the global atmosphere, the observed concentrations of the greenhouse gases are used to infer the surface fluxes for the last few decades. For CH4 and N2O, the flux inversions account also for the chemical loss of these greenhouse gases. The net fluxes include contributions from the natural biosphere (e.g., vegetation, wetlands) as well anthropogenic contributions (e.g., fossil fuel emissions, rice fields).
The data sets for the three species are updated once or three times per year adding the most recent year to the data record, while re-processing the original data record for consistency. This is reflected by the different version numbers. In addition, fluxes for methane are available based on surface air samples only or based on a combination of surface air samples and satellite observations (reflected by an 's' in the version number).","[{'rel': 'self', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/collections/cams-global-greenhouse-gas-inversion'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}]","['Product type: Reanalysis', 'Temporal coverage: Past', 'Variable domain: Atmosphere (composition)', 'Spatial coverage: Global', 'Variable domain: Emissions and surface fluxes', 'Parameter family: Greenhouse gas']",CC-BY-4.0,[{'name': 'ECMWF'}],"{'spatial': {'bbox': [[-180, -90, 180, 90]]}, 'temporal': {'interval': [['1979-01-01T00:00:00Z', '2024-12-31T00:00:00Z']]}}",{},"{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/cams-global-greenhouse-gas-inversion/overview_38d8bdbbbdcb2ad03e03cf6fed7c2fa885db8128b8da42dcccc57c90064c73be.png', 'type': 'image/jpg', 'roles': ['thumbnail'], 'thumborHref': 'https://ads.atmosphere.copernicus.eu/thumbnails/WPLroD78i17ktq8R1dHf4cZjqS4=/150x0/filters:format(webp)/object-store.os-api.cci2.ecmwf.int/cci2-prod-catalogue/resources/cams-global-greenhouse-gas-inversion/overview_38d8bdbbbdcb2ad03e03cf6fed7c2fa885db8128b8da42dcccc57c90064c73be.png'}}"
Collection,1.1.0,cams-europe-air-quality-reanalyses,CAMS European air quality reanalyses,"This dataset provides annual air quality reanalyses for Europe based on both unvalidated and validated observations.
CAMS produces annual air quality reanalyses for the European domain at significantly higher spatial resolution (0.1 degrees, approx. 10km) than is available from the global reanalyses. The production is currently based on an ensemble of eleven air quality data assimilation systems across Europe. A median ensemble is calculated from individual outputs, since ensemble products yield on average better performance than the individual model products. The spread between the eleven models can be used to provide an estimate of the analysis uncertainty. 
The reanalysis combines model data with observations provided by the European Environment Agency (EEA) into a complete and consistent dataset using various data assimilation techniques depending upon the air-quality forecasting system used. Additional sources of observations can complement the in-situ data assimilation, like satellite data. 
An interim reanalysis is provided each year for the year before based on the unvalidated near-real-time observation data stream that has not undergone full quality control by the data providers yet. Once the fully quality-controlled observations are available from the data provider, typically with an additional delay of about 1 year, a final validated annual reanalysis is provided. Both reanalyses are available at hourly time steps at height levels.","[{'rel': 'self', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/collections/cams-europe-air-quality-reanalyses'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}]","['Product type: Reanalysis', 'Temporal coverage: Past', 'Variable domain: Atmosphere (composition)', 'Spatial coverage: Europe', 'Parameter family: Aerosol', 'Parameter family: Reactive gas']",CC-BY-4.0,[{'name': 'ECMWF'}],"{'spatial': {'bbox': [[-25, 30, 45, 72]]}, 'temporal': {'interval': [['2013-01-01T00:00:00Z', '2024-12-31T00:00:00Z']]}}",{},"{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/cams-europe-air-quality-reanalyses/overview_bbfe0b2e1170acdb9c1e489b34a4c7db89080f96fcde03acfdca90f450c8582a.png', 'type': 'image/jpg', 'roles': ['thumbnail'], 'thumborHref': 'https://ads.atmosphere.copernicus.eu/thumbnails/hORcB-2-fPkJl9Rl56kwVLzdVtk=/150x0/filters:format(webp)/object-store.os-api.cci2.ecmwf.int/cci2-prod-catalogue/resources/cams-europe-air-quality-reanalyses/overview_bbfe0b2e1170acdb9c1e489b34a4c7db89080f96fcde03acfdca90f450c8582a.png'}}"
Collection,1.1.0,cams-global-reanalysis-eac4,CAMS global reanalysis (EAC4),"EAC4 (ECMWF Atmospheric Composition Reanalysis 4) is the fourth generation ECMWF global reanalysis of atmospheric composition. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using a model of the atmosphere based on the laws of physics and chemistry. This principle, called data assimilation, is based on the method used by numerical weather prediction centres and air quality forecasting centres, where every so many hours (12 hours at ECMWF) a previous forecast is combined with newly available observations in an optimal way to produce a new best estimate of the state of the atmosphere, called analysis, from which an updated, improved forecast is issued. Reanalysis works in the same way to allow for the provision of a dataset spanning back more than a decade. Reanalysis does not have the constraint of issuing timely forecasts, so there is more time to collect observations, and when going further back in time, to allow for the ingestion of improved versions of the original observations, which all benefit the quality of the reanalysis product.
The assimilation system is able to estimate biases between observations and to sift good-quality data from poor data. The atmosphere model allows for estimates at locations where data coverage is low or for atmospheric pollutants for which no direct observations are available. The provision of estimates at each grid point around the globe for each regular output time, over a long period, always using the same format, makes reanalysis a very convenient and popular dataset to work with.
The observing system has changed drastically over time, and although the assimilation system can resolve data holes, the initially much sparser networks will lead to less accurate estimates. For this reason, EAC4 is only available from 2003 onwards.
Although the analysis procedure considers chunks of data in a window of 12 hours in one go, EAC4 provides estimates every 3 hours, worldwide. This is made possible by the 4D-Var assimilation method, which takes account of the exact timing of the observations and model evolution within the assimilation window.","[{'rel': 'self', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/collections/cams-global-reanalysis-eac4'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}]","['Product type: Reanalysis', 'Temporal coverage: Past', 'Variable domain: Atmosphere (composition)', 'Parameter family: Aerosol', 'Parameter family: Reactive gas', 'Spatial coverage: Global', 'Variable domain: Atmosphere (meteorology)']",CC-BY-4.0,[{'name': 'ECMWF'}],"{'spatial': {'bbox': [[-180, -90, 180, 90]]}, 'temporal': {'interval': [['2003-01-01T00:00:00Z', '2024-10-31T00:00:00Z']]}}",{},"{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/cams-global-reanalysis-eac4/overview_e082c9db427fb72cdd252bf0cde444a48b36e772a19a72f1c749dc72c4a00929.png', 'type': 'image/jpg', 'roles': ['thumbnail'], 'thumborHref': 'https://ads.atmosphere.copernicus.eu/thumbnails/0GQH0j30P8Hs58k1IxHw46Yd-W0=/150x0/filters:format(webp)/object-store.os-api.cci2.ecmwf.int/cci2-prod-catalogue/resources/cams-global-reanalysis-eac4/overview_e082c9db427fb72cdd252bf0cde444a48b36e772a19a72f1c749dc72c4a00929.png'}}"
Collection,1.1.0,cams-europe-air-quality-forecasts-optimised-at-observation-sites,CAMS European air quality forecasts optimised at observation sites,"This dataset provides daily air quality forecasts at European observation
stations after optimisation using a statistical post-processing method called
Model Output Statistics (MOS). The unoptimised ""raw"" forecasts are also
provided in the same format.
The MOS method uses machine learning with predictive variables including
background air quality observation datasets, ECMWF meteorological forecasts and
the ""raw"" CAMS European air quality ensemble median forecast. The result is
daily time series forecasts at many hundreds of European observation stations
and for four species: ozone, nitrogen dioxide, PM10 and PM2.5. Please note that
not all species are available at all stations.
The data files contain EIONET (European Environment Information and Observation
Network) station identifiers but not the associated station metadata such as
latitude, longitude, altitude and environment type (urban, surburban,
rural). These are provided in a separate file that can be optionally added to
the download. The file contains latitude and longitude in degrees north and east
respectively, and altitude in metres. Observation stations can occasionally
change position so a given identifier may have more than one row. In this case
each row will have a unique position number (1, 2, 3, etc.) and contain the
start and end date of the period for which the station had this position.","[{'rel': 'self', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/collections/cams-europe-air-quality-forecasts-optimised-at-observation-sites'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}]","['Temporal coverage: Past', 'Variable domain: Atmosphere (composition)', 'Spatial coverage: Europe', 'Parameter family: Aerosol', 'Parameter family: Reactive gas', 'Product type: Analysis', 'Temporal coverage: Present', 'Temporal coverage: Future', 'Product type: Forecast']",CC-BY-4.0,[{'name': 'ECMWF'}],"{'spatial': {'bbox': [[-25, 30, 45, 72]]}, 'temporal': {'interval': [['2024-01-17T00:00:00Z', '2025-12-04T00:00:00Z']]}}",{},"{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/cams-europe-air-quality-forecasts-optimised-at-observation-sites/overview_b15cc47596728db7125d2c3ef7bca2397ef8bd54717ed019703c6a13320d1e54.png', 'type': 'image/jpg', 'roles': ['thumbnail'], 'thumborHref': 'https://ads.atmosphere.copernicus.eu/thumbnails/VsmCz_cJ4io7NDf6ID2JZ1XSEYI=/150x0/filters:format(webp)/object-store.os-api.cci2.ecmwf.int/cci2-prod-catalogue/resources/cams-europe-air-quality-forecasts-optimised-at-observation-sites/overview_b15cc47596728db7125d2c3ef7bca2397ef8bd54717ed019703c6a13320d1e54.png'}}"
Collection,1.1.0,cams-gridded-solar-radiation,CAMS gridded solar radiation,"This dataset provides historical values of global, direct and diffuse solar
irradiation, as well as direct normal irradiation, on a latitude/longitude grid
covering land surfaces and coastal areas of Europe, Africa, Oceania, Eastern
South America, the Middle East and South-East Asia. It is created from 15 minute
resolved timeseries at each grid point. These timeseries were calculated by the
CAMS Solar Radiation Time Series Service and use information on aerosol, ozone
and water vapour from the CAMS global forecasting system. Other properties, such
as ground albedo and ground elevation, are also taken into account. Data is
provided for both clear-sky and observed cloud conditions. For cloudy conditions
high-resolution cloud information is directly inferred from satellite
observations provided by the Meteosat Second Generation (MSG) and Himawari 8
satellites. It is the Himawari satellite that provides the Asian coverage, which
is only available from 2016 and v4.6 (rev2) onwards.
The aim of the dataset is to fulfil the needs of European and national policy
development and the requirements of both commercial and public downstream
services, e.g. for planning, monitoring, efficiency improvements and the
integration of solar energy systems into energy supply grids.
Data is offered in monthly netCDF formatted files.","[{'rel': 'self', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/collections/cams-gridded-solar-radiation'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}]","['Temporal coverage: Past', 'Spatial coverage: Europe', 'Parameter family: Radiation', 'Product type: Analysis', 'Variable domain: Solar radiation', 'Spatial coverage: Africa', 'Spatial coverage: South America']",CC-BY-4.0,[{'name': 'ECMWF'}],"{'spatial': {'bbox': [[-65.95, -40.55, 65.05, 60.05]]}, 'temporal': {'interval': [['2005-01-01T00:00:00Z', '2023-12-31T00:00:00Z']]}}",{},"{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/cams-gridded-solar-radiation/overview_6e52e4584f0a44c4b38952912cfde9a4f9124c54a964e75b3cc6de09a10260b5.png', 'type': 'image/jpg', 'roles': ['thumbnail'], 'thumborHref': 'https://ads.atmosphere.copernicus.eu/thumbnails/OABxE1sZLTcs2FSDjzwO4P3JO_w=/150x0/filters:format(webp)/object-store.os-api.cci2.ecmwf.int/cci2-prod-catalogue/resources/cams-gridded-solar-radiation/overview_6e52e4584f0a44c4b38952912cfde9a4f9124c54a964e75b3cc6de09a10260b5.png'}}"
Collection,1.1.0,cams-global-fire-emissions-gfas,CAMS global biomass burning emissions based on fire radiative power (GFAS),"Emissions of atmospheric pollutants from biomass burning and vegetation fires are key drivers of the evolution of atmospheric composition, with a high degree of spatial and temporal variability, and an accurate representation of them in models is essential.
The CAMS Global Fire Assimilation System (GFAS) utilises satellite observations of fire radiative power (FRP) to provide near-real-time information on the location, relative intensity and estimated emissions from biomass burning and vegetation fires. Emissions are estimated by (i) conversion of FRP observations to the dry matter (DM) consumed by the fire, and (ii) application of emission factors to DM for different biomes, based on field and laboratory studies in the scientific literature, to estimate the emissions. Emissions estimates for 40 pyrogenic species are available from GFAS, including aerosols, reactive gases and greenhouse gases, on a regular grid with a spatial resolution of 0.1 degrees longitude by 0.1 degrees latitude.
This version of GFAS (v1.2) provides daily averaged data based on a combination of FRP observations from two Moderate Resolution Imaging Spectroradiometer (MODIS) instruments, one on the NASA EOS-Terra satellite and the other on the NASA EOS-Aqua satellite from 1 January 2003 to present. GFAS also provides daily estimates of smoke plume injection heights derived from FRP observations and meteorological information from the operational weather forecasts from ECMWF.
GFAS data have been used to provide surface boundary conditions for the CAMS global atmospheric composition and European regional air quality forecasts, and the wider atmospheric chemistry modelling community.","[{'rel': 'self', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/collections/cams-global-fire-emissions-gfas'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://ads.atmosphere.copernicus.eu/api/catalogue/v1/'}]","['Temporal coverage: Past', 'Parameter family: Aerosol', 'Parameter family: Reactive gas', 'Spatial coverage: Global', 'Variable domain: Emissions and surface fluxes', 'Product type: Analysis', 'Temporal coverage: Present']",CC-BY-4.0,[{'name': 'ECMWF'}],"{'spatial': {'bbox': [[-180, -90, 180, 90]]}, 'temporal': {'interval': [['2003-01-01T00:00:00Z', '2025-12-03T00:00:00Z']]}}",{},"{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/cams-global-fire-emissions-gfas/overview_eaf1132e6ada572e7ab38d00431929a48be55ac21bb5ec24bbe5d0c65be670ad.png', 'type': 'image/jpg', 'roles': ['thumbnail'], 'thumborHref': 'https://ads.atmosphere.copernicus.eu/thumbnails/eGc7adRE7qVkS2r-Bowz5P_JYww=/150x0/filters:format(webp)/object-store.os-api.cci2.ecmwf.int/cci2-prod-catalogue/resources/cams-global-fire-emissions-gfas/overview_eaf1132e6ada572e7ab38d00431929a48be55ac21bb5ec24bbe5d0c65be670ad.png'}}"
Collection,1.1.0,cams-global-ghg-reanalysis-egg4,CAMS global greenhouse gas reanalysis (EGG4),"This dataset is part of the ECMWF Atmospheric Composition Reanalysis focusing on long-lived greenhouse gases: carbon dioxide (CO2) and methane (CH4). The emissions and natural fluxes at the surface are crucial for the evolution of the long-lived greenhouse gases in the atmosphere. In this dataset the CO2 fluxes from terrestrial vegetation are modelled in order to simulate the variability across a wide range of scales from diurnal to inter-annual. The CH4 chemical loss is represented by a climatological loss rate and the emissions at the surface are taken from a range of datasets.
Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using a model of the atmosphere based on the laws of physics and chemistry. This principle, called data assimilation, is based on the method used by numerical weather prediction centres and air quality forecasting centres, where every so many hours (12 hours at ECMWF) a previous forecast is combined with newly available observations in an optimal way to produce a new best estimate of the state of the atmosphere, called analysis, from which an updated, improved forecast is issued. Reanalysis works in the same way to allow for the provision of a dataset spanning back more than a decade. Reanalysis does not have the constraint of issuing timely forecasts, so there is more time to collect observations, and when going further back in time, to allow for the ingestion of improved versions of the original observations, which all benefit the quality of the reanalysis product.
The assimilation system is able to estimate biases between observations and to sift good-quality data from poor data. The atmosphere model allows for estimates at locations where data coverage is low or for atmospheric pollutants for which no direct observations are available. The provision of estimates at each grid point around the globe for each regular output time, over a long period, always using the same format, makes reanalysis a very convenient and popular dataset to work with.
The observing system has changed drastically over time, and although the assimilation system can resolve data holes, the initially much sparser networks will lead to less accurate estimates. For this reason, EAC4 is only available from 2003 onwards.
The analysis procedure assimilates data in a window of 12 hours using the 4D-Var assimilation method, which takes account of the exact timing of the observations and model evolution within the assimilation window.
